Jednostka;ug/m3
1.05.2003;" 	40.5	"
2.05.2003;" 	43.9	"
3.05.2003;" 	39.5	"
4.05.2003;" 	34.2	"
5.05.2003;" 	55.8	"
6.05.2003;" 	72.0	"
7.05.2003;" 	57.4	"
8.05.2003;" 	74.7	"
9.05.2003;" 	66.2	"
10.05.2003;" 	53.7	"
11.05.2003;" 	69.0	"
12.05.2003;" 	50.6	"
13.05.2003;" 	55.0	"
14.05.2003;" 	33.1	"
15.05.2003;" 	34.5	"
16.05.2003;" 	45.1	"
17.05.2003;" 	41.3	"
18.05.2003;" 	39.0	"
19.05.2003;" 	42.0	"
20.05.2003;" 	37.7	"
21.05.2003;" 	29.5	"
22.05.2003;" 	40.6	"
23.05.2003;" 	60.5	"
24.05.2003;" 	68.3	"
25.05.2003;" 	63.8	"
26.05.2003;" 	80.6	"
27.05.2003;" 	72.8	"
28.05.2003;" 	49.5	"
29.05.2003;" 	50.8	"
30.05.2003;" 	60.4	"
31.05.2003;" 	55.9	"
1.06.2003;" 	44.4	"
2.06.2003;" 	53.5	"
3.06.2003;" 	61.0	"
4.06.2003;" 	69.8	"
5.06.2003;" 	56.7	"
6.06.2003;" 	65.5	"
7.06.2003;" 	41.2	"
8.06.2003;" 	42.1	"
9.06.2003;" 	49.6	"
10.06.2003;" 	45.1	"
11.06.2003;" 	55.9	"
12.06.2003;" 	52.7	"
13.06.2003;" 	45.3	"
14.06.2003;" 	34.1	"
15.06.2003;" 	45.0	"
16.06.2003;" 	53.2	"
17.06.2003;" 	44.0	"
18.06.2003;" 	63.6	"
19.06.2003;" 	43.4	"
20.06.2003;" 	37.2	"
21.06.2003;" 	29.2	"
22.06.2003;" 	28.8	"
23.06.2003;" 	47.8	"
24.06.2003;" 	52.2	"
25.06.2003;" 	47.5	"
26.06.2003;" 	41.7	"
27.06.2003;" 	53.0	"
28.06.2003;" 	48.4	"
29.06.2003;" 	53.4	"
30.06.2003;" 	60.4	"
1.07.2003;" 	70.1	"
2.07.2003;" 	31.3	"
3.07.2003;" 	42.6	"
4.07.2003;" 	42.1	"
5.07.2003;" 	41.3	"
6.07.2003;" 	26.3	"
7.07.2003;" 	33.3	"
8.07.2003;" 	40.5	"
9.07.2003;" 	43.2	"
10.07.2003;" 	46.1	"
11.07.2003;" 	52.7	"
12.07.2003;" 	42.3	"
13.07.2003;" 	31.6	"
14.07.2003;" 	38.5	"
15.07.2003;" 	46.1	"
16.07.2003;" 	52.0	"
17.07.2003;" 	65.4	"
18.07.2003;" 	45.2	"
19.07.2003;" 	42.4	"
20.07.2003;" 	34.9	"
21.07.2003;" 	52.7	"
22.07.2003;" 	60.3	"
23.07.2003;" 	51.8	"
24.07.2003;" 	52.2	"
25.07.2003;" 	58.7	"
26.07.2003;" 	54.5	"
27.07.2003;" 	41.2	"
28.07.2003;" 	48.3	"
29.07.2003;" 	33.1	"
30.07.2003;" 	44.4	"
31.07.2003;" 	49.4	"
1.08.2003;" 	49.1	"
2.08.2003;" 	43.7	"
3.08.2003;" 	35.0	"
4.08.2003;" 	57.8	"
5.08.2003;" 	46.6	"
6.08.2003;" 	41.3	"
7.08.2003;" 	53.7	"
8.08.2003;" 	54.7	"
9.08.2003;" 	52.3	"
10.08.2003;" 	38.2	"
11.08.2003;" 	31.8	"
12.08.2003;" 	56.7	"
13.08.2003;" 	58.7	"
14.08.2003;" 	55.8	"
15.08.2003;" 	33.3	"
16.08.2003;" 	36.3	"
17.08.2003;" 	49.6	"
18.08.2003;" 	73.2	"
19.08.2003;" 	38.2	"
20.08.2003;" 	44.6	"
21.08.2003;" 	58.6	"
22.08.2003;" 	62.2	"
23.08.2003;" 	55.5	"
24.08.2003;" 	25.3	"
25.08.2003;" 	38.3	"
26.08.2003;" 	46.0	"
27.08.2003;" 	52.8	"
28.08.2003;" 	51.5	"
29.08.2003;" 	63.9	"
30.08.2003;" 	31.7	"
31.08.2003;" 	31.3	"
1.09.2003;" 	42.0	"
2.09.2003;" 	32.0	"
3.09.2003;" 	32.9	"
4.09.2003;" 	37.4	"
5.09.2003;" 	47.9	"
6.09.2003;" 	40.1	"
7.09.2003;" 	41.0	"
8.09.2003;" 	62.8	"
9.09.2003;" 	65.0	"
10.09.2003;" 	65.4	"
11.09.2003;" 	54.1	"
12.09.2003;" 	41.3	"
13.09.2003;" 	53.8	"
14.09.2003;" 	40.6	"
15.09.2003;" 	54.7	"
16.09.2003;" 	67.3	"
17.09.2003;" 	64.6	"
18.09.2003;" 	71.5	"
19.09.2003;" 	73.6	"
20.09.2003;" 	82.8	"
21.09.2003;" 	65.4	"
22.09.2003;" 	71.6	"
23.09.2003;" 	65.7	"
24.09.2003;" 	32.6	"
25.09.2003;" 	50.4	"
26.09.2003;" 	62.7	"
27.09.2003;" 	54.2	"
28.09.2003;" 	67.7	"
29.09.2003;" 	60.4	"
30.09.2003;" 	42.5	"
1.10.2003;" 	60.4	"
2.10.2003;" 	58.5	"
3.10.2003;" 	58.3	"
4.10.2003;" 	53.1	"
5.10.2003;" 	29.6	"
6.10.2003;" 	26.0	"
7.10.2003;
8.10.2003;
9.10.2003;
10.10.2003;
11.10.2003;
12.10.2003;
13.10.2003;" 	48.8	"
14.10.2003;" 	62.2	"
15.10.2003;" 	47.4	"
16.10.2003;" 	57.0	"
17.10.2003;" 	47.9	"
18.10.2003;" 	86.2	"
19.10.2003;" 	106.0	"
20.10.2003;" 	125.3	"
21.10.2003;" 	78.0	"
22.10.2003;" 	34.7	"
23.10.2003;" 	53.6	"
24.10.2003;" 	62.9	"
25.10.2003;" 	71.1	"
26.10.2003;" 	32.7	"
27.10.2003;" 	77.5	"
28.10.2003;" 	140.2	"
29.10.2003;" 	143.2	"
30.10.2003;" 	96.9	"
31.10.2003;" 	94.2	"
1.11.2003;" 	57.3	"
2.11.2003;" 	47.8	"
3.11.2003;" 	67.2	"
4.11.2003;" 	79.3	"
5.11.2003;" 	67.7	"
6.11.2003;" 	41.0	"
7.11.2003;" 	41.0	"
8.11.2003;" 	63.8	"
9.11.2003;" 	49.7	"
10.11.2003;" 	36.9	"
11.11.2003;" 	65.5	"
12.11.2003;" 	103.5	"
13.11.2003;" 	93.6	"
14.11.2003;" 	160.1	"
15.11.2003;" 	175.6	"
16.11.2003;" 	197.2	"
17.11.2003;" 	112.1	"
18.11.2003;" 	32.7	"
19.11.2003;" 	28.8	"
20.11.2003;" 	81.8	"
21.11.2003;" 	148.4	"
22.11.2003;" 	148.8	"
23.11.2003;" 	163.5	"
24.11.2003;" 	244.6	"
25.11.2003;" 	213.2	"
26.11.2003;" 	178.8	"
27.11.2003;" 	103.8	"
28.11.2003;" 	119.5	"
29.11.2003;" 	102.6	"
30.11.2003;" 	94.5	"
1.12.2003;" 	167.6	"
2.12.2003;" 	161.0	"
3.12.2003;" 	211.6	"
4.12.2003;" 	226.9	"
5.12.2003;" 	68.5	"
6.12.2003;" 	22.1	"
7.12.2003;" 	35.0	"
8.12.2003;" 	60.0	"
9.12.2003;" 	69.3	"
10.12.2003;" 	147.2	"
11.12.2003;" 	190.9	"
12.12.2003;" 	71.8	"
13.12.2003;" 	54.0	"
14.12.2003;" 	22.4	"
15.12.2003;" 	28.1	"
16.12.2003;" 	25.5	"
17.12.2003;" 	44.9	"
18.12.2003;" 	62.1	"
19.12.2003;" 	126.2	"
20.12.2003;" 	104.1	"
21.12.2003;" 	104.3	"
22.12.2003;" 	58.1	"
23.12.2003;" 	66.8	"
24.12.2003;" 	116.4	"
25.12.2003;" 	166.0	"
26.12.2003;" 	156.3	"
27.12.2003;" 	198.5	"
28.12.2003;" 	118.1	"
29.12.2003;" 	108.4	"
30.12.2003;" 	154.6	"
31.12.2003;" 	108.9	"
